Date,90250,90046,90034,90044,90805,90650,92683,90026,90066,92677,92804,90019,90280,90201,90004,90706,91342,92627,90011,90025,90027,91335,90731,93550,93536,93535,90802,92630,92647,90631,92646,92648,92620,90640,90036,91331,91801,90042,92704,92656,92626,90006,92805,90255,90024,92618,90028,92708,91402,91367,90049,91406,91706,92801,90277,91766,91744,90020,92780,91405,90813,90803,90503,91601,92692,91702,91770,90047,90018,90003,90630,91343,90247,90045,90016,90043,90022,91304,90037,92870,93551,90005,90278,92691,91344,92886,90057,90703,91745,92688,90660,92672,92833,91765,90275,91605,92660,90804,90745,90815,90029,91016,90291,91606,91423,93534,90065,90723,90292,90262,90069,90740,90501,90405,91732,90638,90008,91401,90241,90266,91205,92840,92649,92821,91604,91767,90403,92705,90505,90808,91387,90744,91748,91306,90035,91607,90048,91311,90007,92703,92707,90620,90068,91505,92612,90032,92867,91750,91206,90807,91107,90012,92831,90806,90063,90001,92629,90033,91790,92806,91104,90220,90038,91789,90230,90242,91773,91711,91754,91355,92807,91001,91350,90301,90064,91326,91316,92651,90504,91780,92701,90039,90604,90002,91776,91325,91403,90017,92802,91352,91356,92675,92869,90031,90221,91007,90023,91106,91722,92843,90621,90274,92663,90302,91321,91791,90601,90260,91354,92782,91101,90712,91006,92653,90605,91214,90404,91030,92673,91803,92602,93552,92679,91351,92614,91364,90041,90059,90015,90254,91733,90810,91042,92706,91602,92604,92694,90272,91324,91303,91504,90713,90062,91740,90680,91302,91301,90814,90210,90249,91792,91741,92841,90717,91411,90710,92835,91202,91755,90720,92832,90732,90606,91103,90265,91724,92868,91501,91201,92606,91307,91775,90602,90746,91768,90240,91010,91340,91506,91731,92603,90245,91040,90061,90222,92808,90303,90232,91723,92887,91384,91011,90603,92625,90293,91746,92865,90304,91203,90212,92844,90270,90013,90305,91390,91105,90715,91208,90502,91204,92866,91436,92845,90402,91502,90670,90623,91345,91024,90014,90701,91108,92657,90755,93543,90056,91207,92610,90211,90077,90248,90716,92624,90040,91020,93510,90290,92655,92661,92662,92861,92823,90704,93532,93553,92676,91008
1996-01-01,152644,347055,233100,119300,127233,145133,171300,138311,241177,277888,158988,166822,144933,147133,242577,154755,141722,206866,114255,334266,296288,135822,185322,83477,131077,85011,107144,214344,207066,175755,235377,307155,280055,174711,289622,127444,189455,132566,152900,215344,205433,133866,149477,149088,680577,323388,169155,221011,128477,237055,762733,138666,135055,150200,348666,118588,134933,733855,195144,144466,102000,290500,254311,156588,224311,135555,159611,131777,131711,110422,197311,159466,145677,249477,134000,146044,143988,180155,119655,208377,144633,256155,228588,202533,170055,255611,131455,215333,206933,205977,147400,228844,164622,214011,438177,137366,502388,129622,151855,180188,146833,179177,234633,132766,288166,74300,152655,139333,583577,135744,543955,308211,203577,313222,139488,165133,179800,176122,184800,463833,158922,155366,280922,211433,339044,114866,472788,273900,279033,177555,211277,132644,176077,149288,323111,210288,307488,205633,140544,137033,144300,162711,320600,173411,224233,132000,206244,192400,280255,170900,234388,120844,187588,135844,125322,117888,269011,120955,153977,178200,199822,119177,171955,228488,219877,160666,193633,197188,187033,218788,220644,185600,191300,138633,317577,244477,195911,425855,189744,185355,143166,162677,159166,110977,175233,210444,333711,163033,159122,133411,364833,237177,235544,126011,123444,342644,128244,302922,143900,152022,157366,593922,515400,141466,191277,184188,172488,150922,238522,318333,150633,158933,286833,251566,150322,227400,241733,267988,304366,171844,305700,105866,296411,151066,274766,262466,166355,113422,140933,336422,139300,125622,160433,164755,260377,232700,292866,723855,173822,140055,220166,165366,123400,158233,143022,389111,322377,214222,1023000,153155,157011,213133,160377,209033,155088,195500,243288,262444,184622,283188,151311,255677,147266,151255,692211,178877,155955,250222,222555,258522,182744,242755,158844,163322,112677,186688,136311,120744,184766,139355,505722,274688,156722,118811,113822,257155,150833,233066,158266,311955,203322,403155,172377,653900,402033,138800,189455,134488,151377,711288,151066,138433,396700,163100,243688,341555,156944,277244,157333,151277,173944,412222,186777,886066,175300,146788,232333,142188,271522,434000,158844,519711,724755,168000,84688,327488,311888,222377,430622,770266,154111,129177,225022,143633,204033,224788,342711,146844,624822,656377,412033,258777,272066,116355,145300,201077,351911
1997-01-01,154158,385091,248825,121741,127050,144733,173850,141666,254758,292641,161133,171333,143558,145600,263758,157258,140825,219691,118791,362516,320775,136966,196475,81541,133183,82866,116041,219883,217433,179233,245916,314516,284916,172766,318550,125191,189141,130625,155125,224891,212283,138408,152725,146541,720275,341200,186525,229783,126658,243391,805316,139233,134875,152841,365425,115441,136108,812808,203200,142691,107225,305816,267133,162891,234591,137341,159358,132458,133258,113825,203550,162083,144816,266491,133291,148708,142966,183383,123475,215916,147083,287983,241300,212700,174491,262158,135433,221341,207991,210866,147383,240716,169025,217416,457433,137000,500658,135625,153991,185241,151183,186950,253158,133366,301816,74125,150775,138091,598075,136350,589441,320825,207350,342783,139475,167725,176575,177225,184508,506516,164325,159300,298441,219125,357941,116366,522300,291750,294441,179775,216566,136208,179966,148958,334891,219350,339991,210208,150225,141191,147550,165775,348183,179100,237041,132975,212316,200133,297000,172258,240958,123533,195216,138508,126541,117941,283258,122425,156483,180075,201358,119708,183750,231900,236125,161508,200058,201150,191500,230183,226641,187108,194600,136833,331200,255108,205583,450475,192950,190666,147441,169608,162700,115991,176666,211525,348725,174325,163675,132841,385700,252916,244600,126208,125308,353291,130016,316933,145758,156308,161533,617341,543775,141391,195108,184650,170083,153900,240425,330566,154975,162033,295283,265658,150516,236275,262000,286700,324916,172650,309691,104483,304333,155408,282550,277175,171883,116491,144758,362958,141450,129016,164825,168733,280066,240958,301725,749825,174125,138508,228358,168366,127366,160350,146150,406333,324283,229341,1097925,156458,160083,219858,165491,217283,159300,205583,254466,270766,185908,298266,155391,265833,146491,154041,725775,179800,160425,267000,234300,264583,181716,242191,161625,166108,114058,183941,135641,121116,192850,140166,523733,285433,158333,121950,114150,269333,153450,252116,159891,327683,208308,423175,173866,684891,410675,140000,196691,132391,157091,773375,155950,138433,396700,164100,242483,366050,159066,297141,161500,154700,182050,441366,192966,938008,184091,147675,241058,140875,286633,434000,162191,543116,802641,175366,83416,350058,330000,233991,482183,807708,158416,133900,244075,144183,210191,227016,366166,152016,667300,709233,428775,270191,271416,118608,145300,210533,368966
1998-01-01,163258,454850,286850,130166,132883,150466,190933,159500,306675,347825,175125,196266,145816,149341,314650,165800,149516,258908,126416,423291,377850,146716,220100,81875,143391,85025,125233,250350,242400,194333,278275,366500,315433,177950,371916,129100,201658,138300,166550,265416,238991,149766,163883,147350,771291,376483,219200,257491,131216,278483,882950,151450,139866,165883,417350,120800,140116,926191,229091,152116,113591,343841,305425,179325,273950,142291,164850,136950,139858,123450,228525,175633,150966,310300,139391,157683,144916,209858,129866,237741,156116,346066,273833,245875,190725,294608,144850,245075,222250,246191,151575,294583,184158,231391,527941,143600,575733,147300,163141,200350,156991,197758,305866,144050,345583,76083,164325,143008,676483,138975,666191,354708,233025,406416,142966,178783,193200,202900,191450,576866,178200,173983,332883,243733,415850,122583,614933,337441,339925,197125,232933,141050,188258,161941,379800,249358,404925,235108,163208,153366,158608,179550,413383,198925,256816,136358,236900,217891,339500,190658,268375,130816,219475,148041,130600,120650,340658,124583,164650,198225,226108,125825,211391,251225,268883,170775,217308,216091,207425,251975,252391,208366,211116,139950,395683,280183,229108,540850,216050,209308,157333,198050,172533,120783,183300,240583,408458,190291,177683,137516,439316,285241,271700,129033,128033,370000,130333,338141,152500,168808,172591,674083,590325,147750,212200,195866,178833,162008,254850,363125,169433,174850,321658,309233,158141,263091,302616,317475,379883,182483,330983,105491,370341,165858,317466,305141,190608,122583,154991,434608,146975,136000,174891,183550,324400,267233,351516,837508,195275,147341,264008,182208,133116,171200,155191,459250,345325,262933,1254850,165891,168775,240425,180683,235008,180275,220866,290741,299508,198508,342691,167733,299666,151816,167991,771991,188808,170725,299491,261650,295125,203125,257925,168100,177075,116441,192833,140633,125050,214816,145066,580325,317041,167791,126566,121733,295308,159675,287083,167816,362025,218425,498033,187100,751183,468558,142591,221141,136766,173241,854100,169550,140616,396700,169233,260258,405441,165916,333791,171900,167100,204633,506391,216575,1068683,201908,154308,262566,146850,316800,434000,172016,598950,915933,190941,83250,379791,369408,267533,578791,868150,168566,140383,279583,147141,228683,238325,409008,164675,753708,782450,485600,299158,276675,123933,145300,233991,404425
1999-01-01,174941,514091,324266,132933,138383,158916,211433,179525,355891,395583,186966,235700,150758,155066,369950,175766,162066,284483,128941,476266,424683,163933,250316,87625,154008,89875,134033,284883,262908,210600,305425,411558,354366,187500,434133,138341,212966,145000,176500,310366,260358,164150,174883,152058,850541,413958,244208,284308,143766,317691,961158,169308,145466,176300,473566,126075,144800,1053866,251166,168258,122316,389416,335433,206783,316225,145941,174341,142891,145650,124875,248200,194325,163125,349650,145016,165433,150358,237183,134491,256908,168225,401508,305575,275475,218425,330408,152258,266408,238091,283058,158000,336516,200258,254725,575466,154625,619125,162783,175683,228000,170358,219708,353700,156433,397775,80275,178266,150016,797725,142425,768150,392866,254408,468008,147650,192975,211158,233591,212875,661383,197200,186783,371383,260483,475741,127391,738416,370316,369575,218308,262850,146141,204633,180075,442066,285416,471558,270200,176616,162925,165891,191416,466191,221558,280058,140516,258766,241266,375583,215158,301366,140083,237900,161416,133000,125683,387841,128758,173291,219133,250083,129075,239491,271783,299591,179741,238225,239025,225275,273408,278983,230708,231991,147200,443525,323541,253291,612075,238308,222525,164958,223800,183366,123275,196325,272041,474558,208891,190000,149933,489725,325750,302941,136208,131433,398858,133316,367891,160100,181066,184758,741550,669816,155891,235216,213450,194191,175433,281508,411841,188433,188891,336533,345500,167483,285916,346491,341933,429258,195533,374233,111641,438200,182700,356041,343166,210533,126000,171133,502516,151725,143683,190791,199316,374575,292841,409266,944358,220975,163458,299375,198433,136783,181341,165125,512608,382591,300025,1365250,175850,178608,262158,193300,251650,208216,235241,317800,333525,214358,375591,180583,339991,161100,184000,848008,205016,185983,334675,293083,332375,232108,280475,178541,189441,121650,211033,147541,133475,240441,151883,625991,354891,189325,129891,125275,332766,168116,321658,179783,396516,240183,554491,201400,840450,531891,147366,242458,143733,194408,941441,185825,143808,396700,178908,290141,437683,177900,367408,186391,182916,231916,566750,236791,1206458,217866,163850,287050,161725,356033,434000,185083,657825,1037766,210916,85900,411650,408616,306725,656475,948391,181383,144041,318083,152358,254300,263750,455483,180308,852675,857516,549708,331508,295683,129000,145300,255575,445283
2000-01-01,192300,566050,356133,135250,151458,170525,238208,204525,377966,436583,211108,269800,159558,162783,428491,191950,178233,321516,133966,516216,480933,180416,271950,98150,166933,97625,149516,309566,290291,231691,341225,461366,390250,204850,497508,156108,228166,157591,202050,343425,289716,184350,193925,160925,963916,458625,266533,314758,163733,351658,1071808,190016,156025,197416,516108,133741,155658,1177400,277716,186158,133683,445233,361225,230508,349516,158891,188450,153391,155958,127275,272291,220408,177325,377666,155725,180191,160241,256266,141241,286583,181225,448933,341266,306875,241408,362108,164033,288575,256408,310875,170558,384900,225758,281491,599375,174041,687341,181308,188491,252525,201433,241183,393291,175691,432716,87325,196941,158300,902716,149300,887091,439691,277416,509266,159366,215958,225341,257175,235391,747141,219608,210675,409350,287383,518433,136608,856716,406516,397408,240100,284558,159983,225225,199183,497208,319333,523100,294183,193691,182558,185300,214425,509350,247975,310725,154558,283566,259950,404050,238325,334016,152350,261883,178316,136758,131333,432675,134716,188000,243775,276475,134741,272583,294608,321691,194125,256366,269250,237433,292316,304591,256341,255066,156133,481575,354450,273783,711375,260000,241541,183308,251225,199083,128133,216550,307075,520333,226225,213108,166491,528458,376725,336650,147575,136808,427633,140141,409825,172583,206683,207541,838825,808300,164275,257366,229908,219933,192441,303541,458841,209075,209133,379058,389050,179383,311225,383533,371558,463975,211650,426600,123925,468075,202000,384266,381383,229650,130575,191491,553383,161016,157350,211516,229466,417050,323450,424341,1050641,244275,182066,319166,218608,144808,200058,186858,566741,419408,333558,1544766,188208,193083,285158,218683,271141,235708,251750,345600,361733,228566,406608,200158,363208,173466,202008,968200,222016,210291,369291,321466,362266,255775,301175,196983,208200,129608,233733,159858,149991,261691,161400,680383,392925,210616,134750,129025,367850,179450,348733,195058,433891,261258,598858,219725,980758,579966,158616,264475,151291,221775,1049625,209366,152175,396700,197450,315891,472083,195866,402783,202941,205591,260275,602150,257491,1332033,243500,175266,317925,181591,387158,434000,200675,694666,1183300,233425,93033,453941,445116,341133,699408,1068483,198325,148808,363233,160991,286316,289050,503916,202575,986716,1006225,605350,365483,327558,134858,145300,283016,492375
2001-01-01,216741,597966,388233,141191,167525,187491,269916,237391,419275,478408,238466,313816,172875,175133,489050,211766,198675,363741,141700,568800,529341,205341,297350,116641,178583,114883,173491,345766,327575,253258,384075,510833,439191,226625,566366,175691,254450,181175,233775,387325,326900,212400,221233,172491,1086550,516008,315008,354641,185033,389225,1190625,213366,170158,227058,549141,146975,173266,1322508,313933,215575,147300,494958,388758,251725,388091,176858,210933,165850,170891,132558,298125,248108,196666,416875,172900,199225,170083,280925,149233,319866,194866,515658,368075,347125,265016,394441,191366,318800,280408,352950,183258,455025,254008,309266,644150,198316,795450,208533,211308,279925,241550,268491,455141,200808,467500,101350,225558,170958,1023708,160675,1018858,475108,308308,559025,173616,240291,254016,294333,261525,831475,251333,241991,456516,322650,548850,153458,951091,444075,427683,268058,294216,175433,249475,225583,554691,346566,582166,320016,212250,212300,216550,240950,582933,276241,349700,163750,321958,287058,435183,264050,360450,169541,292250,198383,147308,136216,485508,145766,206408,271950,305641,144416,324641,323975,368716,216116,283358,297700,264075,310083,340408,288133,271800,173075,542933,378608,308100,857675,286775,265583,215650,289283,221966,134175,238350,328608,562383,252975,243333,189066,577383,408950,371641,162950,143066,466800,150708,453766,191450,236833,232491,925475,930900,178908,280008,248608,240775,215825,323358,513350,242500,231358,408058,426233,196983,342033,422841,408083,496091,235175,482550,139266,506266,219883,417300,398375,258333,137216,213383,603716,173475,171966,237858,261850,459425,364933,459300,1195716,269833,208725,358050,243333,154700,227225,216308,627116,466941,367783,1719058,209216,216983,319258,251091,303825,265925,278950,386916,393141,252983,443408,229358,389258,189366,223575,1127758,249941,241258,408333,351850,399400,282958,330716,221375,232283,141491,258825,180575,169575,291750,176241,735716,437166,234708,140383,135350,405991,197191,385866,218800,470191,277900,643000,246475,1127266,638908,174391,294991,166466,253241,1155991,241850,164541,396700,220616,330991,531325,220875,432358,226683,239875,295125,643358,285483,1482866,276600,193741,348850,204308,417741,434000,225516,737708,1351466,265283,111400,507691,485358,381716,749783,1207600,221925,160941,417766,173300,320916,309841,565483,234758,1184750,1219116,658275,397875,377641,145125,145300,325691,556441
2002-01-01,254125,668000,444633,157116,192900,217650,311716,284391,478125,537825,276450,378450,195291,196841,552125,247925,233666,414058,153708,631725,606933,243891,335866,133850,197825,131191,213825,394166,379091,297783,439133,581800,492908,256466,646150,206358,294925,214683,275841,441891,384616,256225,262758,193783,1222983,580858,394450,406816,218800,427658,1348858,252625,192566,266741,615050,170358,196741,1554191,366400,255400,166066,578233,433941,289350,436850,204600,247900,189750,197308,143500,345266,283608,228008,471783,204008,232108,190616,330225,163016,364425,220633,606216,420900,394416,303433,448983,235658,368975,326841,401891,213516,524983,291333,353366,717366,235050,887575,254366,247183,330783,283750,314208,543283,243908,525133,118508,269708,197016,1164208,180208,1151066,519066,355516,607833,201791,276241,295358,339641,299583,916900,299791,279858,496566,368975,626133,179350,1056766,503208,480600,315808,337391,199233,285783,262575,622475,392541,669558,364333,242975,254741,256333,277891,665966,318550,399558,184758,371008,335658,489783,312616,413050,196741,340183,236441,164150,147300,548208,163350,242925,314491,361216,156650,402341,369158,419408,251200,327258,344883,299250,352316,387283,336933,302691,205633,598675,425833,361383,985358,331375,306441,258983,337541,256475,145608,276150,384908,611658,298900,281625,223041,624116,455050,422858,184508,158000,529425,168450,512491,223666,277491,268433,1016858,1028316,210500,319516,293616,276150,255233,363025,587175,288508,269233,454783,470175,232691,388633,486233,474983,564341,269616,547650,157283,575050,250683,469641,441241,317400,148850,249500,670150,201358,196425,275933,308000,518816,410250,512408,1361125,314975,248066,404158,282558,174016,260841,256358,674875,528350,420508,1951116,246275,255308,370958,289466,352166,307450,324191,440283,450741,291191,496016,269541,444816,220608,269641,1324200,293041,277916,457241,401241,452283,328308,381125,257416,263433,165408,298275,213883,197275,343250,204041,801025,492808,272175,149741,147708,454766,227075,445275,256491,526400,310500,715558,284291,1258250,723508,201808,341866,193241,288408,1290608,283825,179741,396700,248291,365791,598550,257150,485550,262041,281583,345966,704766,332708,1709833,320825,225858,395583,240733,472633,434000,264166,837450,1560866,313675,132950,576841,537125,434883,812458,1355966,257875,183700,483775,193533,362491,347683,637991,276825,1412341,1448300,730275,440883,448408,162466,145300,375841,634275
2003-01-01,315225,800716,546450,184166,235716,268883,379425,372083,565733,635275,340133,463025,233800,231391,667666,297683,291400,512350,175725,736608,718075,301816,404316,160908,234133,155758,280333,467525,459525,361000,529716,692166,572575,307458,762166,258516,356875,277191,338266,529458,465133,314216,320475,231883,1368400,676333,503208,482975,270983,516366,1539266,309750,236066,323741,712325,207808,239275,1842183,438141,315391,204683,693025,515116,357750,514650,250583,296016,227083,243150,167483,411683,342641,276958,549633,261316,283916,223466,402133,190041,432650,265191,714850,513191,467108,376750,532208,291175,447650,390391,477358,262325,625008,356816,416466,834516,287966,1018283,316716,294166,395791,347308,379483,628650,300141,622816,142816,344983,237408,1275708,214850,1319441,620883,418433,714808,251700,337691,353625,408058,365516,1069200,363916,343808,618083,433458,735625,219633,1218683,613083,577975,384275,409775,250616,346125,321350,727408,482633,785375,440891,298975,313566,314200,338333,778216,392408,478633,226241,447716,394875,575058,394150,497950,236716,411708,291316,190233,170191,652975,191166,293241,380883,438575,183483,495175,434150,493366,300925,382491,403300,354866,419866,465191,411525,361900,256700,698375,510066,435550,1149708,399300,376616,320508,417925,309200,165816,339158,458133,712591,362533,343825,274866,730766,549558,498708,220391,183458,622633,196500,624741,271858,340466,332675,1171850,1174783,266816,386791,362108,333333,313858,437866,675016,364141,332275,539841,568533,281441,465616,575775,581150,668258,325216,645316,190333,667116,301525,558475,549558,391058,170833,303841,762891,246041,244200,333941,374433,598833,479091,604166,1532358,377416,305725,488916,346216,210425,311733,313700,776508,610258,507166,2290150,300616,304041,426616,356825,423291,374291,394850,517358,528308,343641,602350,326375,534741,268483,358125,1565366,344558,337491,530666,481991,529483,400208,454833,316858,317483,203491,362750,260383,248700,413566,255258,887841,574958,333516,172275,170808,540433,274291,544983,306133,619866,379225,814425,339350,1451208,856900,246116,413000,232091,345883,1499008,345850,210925,396700,293491,444283,691158,308833,566158,321025,346391,411783,823175,400641,2000383,389975,274558,466400,294475,559316,434000,319833,958408,1840891,375758,157075,677616,639216,513266,952725,1564625,314508,215266,579483,228983,435116,413116,760841,340133,1573225,1669950,852341,514625,505466,189300,145300,430391,724066
2004-01-01,403675,983525,696025,241058,315375,345216,487900,488033,704100,802108,442333,604816,303683,300850,840458,385400,382975,658925,220958,887783,898700,396941,517766,217091,294466,204958,361125,604233,586033,463441,663783,878991,736108,395608,936233,343716,450058,374408,442008,685208,602050,444175,418966,299508,1602866,882633,598250,611725,359891,652791,1804066,403741,308975,421683,867775,278200,310533,2229141,556658,412083,290150,844083,642241,460258,661325,324775,382775,293983,334125,214375,520491,443575,364208,666816,342400,365483,288300,500400,248825,550600,340075,848733,665433,607500,481266,676650,399866,560750,493358,625291,333933,800983,458708,524616,1018966,376125,1276091,405616,378000,505675,502741,474208,789858,397700,758808,190141,435941,311783,1449258,279433,1607933,768308,533733,916291,324058,432925,466308,524591,470791,1338458,469600,447841,774825,546016,905291,288241,1541791,770841,703925,487525,510300,327250,440858,422375,894983,605583,978158,560941,394575,411691,419783,435200,936050,489550,605616,303300,568033,499391,715558,495700,611125,329275,513966,381908,236425,217700,797100,237466,369233,497441,545366,239241,606783,543516,620633,393200,475925,513033,444441,513641,589900,514558,454641,338225,859258,644991,549641,1409558,501141,464383,420800,542241,398441,209600,422258,575925,867566,453841,449058,364358,913958,708666,632500,290325,236041,753416,243725,768516,345558,445650,431091,1432450,1457733,351883,483116,447408,426350,404350,513750,858283,469650,427500,673425,727633,360366,585558,732066,707883,834708,422575,854216,255358,850875,392433,700700,690400,494475,216316,388716,953341,317391,319483,427358,489650,720658,619950,779200,1848858,479191,402883,604041,442341,277133,394325,405066,964550,759441,651416,2741141,389000,386625,522775,462083,524600,488975,498691,652641,648841,431858,733591,420300,658908,344791,448450,1904125,429566,431416,671750,601308,686741,502991,556833,401608,403683,273233,462725,343600,338675,518108,328608,1109600,738941,427841,220558,223125,698691,350008,677475,382575,777483,480000,1004308,437241,1734408,1007541,316241,524525,318050,456375,1812166,445433,270733,396700,375916,547408,848325,404550,704550,413416,450458,521675,1023983,510691,2381941,483966,355750,584591,386891,694075,434000,411475,1167758,2276766,525841,210575,801183,795050,668750,1220308,1827300,395175,290741,749350,298208,544791,520466,878083,449383,1884975,1875416,1018625,651258,547733,246225,145300,546416,956950
