Date,Los Angeles,Orange
1996-01-01,152644,171300
1997-01-01,154158,173850
1998-01-01,163258,190933
1999-01-01,174941,211433
2000-01-01,192300,238208
2001-01-01,216741,269916
2002-01-01,254125,311716
2003-01-01,315225,379425
2004-01-01,403675,487900
2005-01-01,502266,567141
2006-01-01,552491,619491
2007-01-01,525975,583850
2008-01-01,442475,482891
2009-01-01,369091,434216
2010-01-01,366641,432691
2011-01-01,359066,412925
2012-01-01,350866,414666
2013-01-01,398558,475041
2014-01-01,436075,514908
2015-01-01,472525,543600
2016-01-01,525216,571850
2017-01-01,577383,619250
2018-01-01,609375,652400
