Date,Los Angeles,Orange
1996-04-01,152500.0,172200.0
1996-05-01,152600.0,171900.0
1996-06-01,152600.0,171600.0
1996-07-01,152600.0,171300.0
1996-08-01,152600.0,171100.0
1996-09-01,152600.0,170900.0
1996-10-01,152600.0,170900.0
1996-11-01,152700.0,170800.0
1996-12-01,153000.0,171000.0
1997-01-01,153400.0,171300.0
1997-02-01,153600.0,171600.0
1997-03-01,153700.0,171700.0
1997-04-01,153600.0,171900.0
1997-05-01,153600.0,172200.0
1997-06-01,153500.0,172600.0
1997-07-01,153600.0,173200.0
1997-08-01,153800.0,174000.0
1997-09-01,154200.0,174900.0
1997-10-01,154800.0,176100.0
1997-11-01,155500.0,177500.0
1997-12-01,156600.0,179200.0
1998-01-01,157900.0,181200.0
1998-02-01,159200.0,183100.0
1998-03-01,160300.0,184800.0
1998-04-01,161300.0,186500.0
1998-05-01,162200.0,188300.0
1998-06-01,163000.0,190000.0
1998-07-01,163800.0,191700.0
1998-08-01,164600.0,193500.0
1998-09-01,165300.0,195300.0
1998-10-01,166200.0,197100.0
1998-11-01,167100.0,198900.0
1998-12-01,168200.0,200800.0
1999-01-01,169500.0,202800.0
1999-02-01,170700.0,204500.0
1999-03-01,171600.0,206000.0
1999-04-01,172600.0,207400.0
1999-05-01,173600.0,208700.0
1999-06-01,174500.0,210100.0
1999-07-01,175300.0,211600.0
1999-08-01,176200.0,213200.0
1999-09-01,177100.0,214900.0
1999-10-01,178100.0,217000.0
1999-11-01,179300.0,219200.0
1999-12-01,180800.0,221800.0
2000-01-01,182500.0,224400.0
2000-02-01,184300.0,227100.0
2000-03-01,185900.0,229500.0
2000-04-01,187700.0,231900.0
2000-05-01,189500.0,234300.0
2000-06-01,191300.0,236800.0
2000-07-01,193000.0,239200.0
2000-08-01,194800.0,241700.0
2000-09-01,196700.0,244300.0
2000-10-01,198600.0,246900.0
2000-11-01,200600.0,249700.0
2000-12-01,202700.0,252700.0
2001-01-01,205000.0,255700.0
2001-02-01,207300.0,258500.0
2001-03-01,209400.0,261200.0
2001-04-01,211400.0,263700.0
2001-05-01,213400.0,266200.0
2001-06-01,215400.0,268500.0
2001-07-01,217400.0,270900.0
2001-08-01,219400.0,273400.0
2001-09-01,221600.0,275900.0
2001-10-01,224100.0,278700.0
2001-11-01,226800.0,281600.0
2001-12-01,229700.0,284700.0
2002-01-01,232900.0,288000.0
2002-02-01,236300.0,291400.0
2002-03-01,239700.0,294900.0
2002-04-01,243200.0,298600.0
2002-05-01,246800.0,302600.0
2002-06-01,250600.0,307100.0
2002-07-01,254700.0,312100.0
2002-08-01,259000.0,317400.0
2002-09-01,263600.0,323000.0
2002-10-01,268600.0,329000.0
2002-11-01,274200.0,335200.0
2002-12-01,279900.0,341300.0
2003-01-01,285100.0,347000.0
2003-02-01,289600.0,352100.0
2003-03-01,294300.0,357200.0
2003-04-01,299200.0,362300.0
2003-05-01,304400.0,367500.0
2003-06-01,310300.0,373200.0
2003-07-01,316600.0,379500.0
2003-08-01,323100.0,386500.0
2003-09-01,329800.0,394100.0
2003-10-01,336600.0,402400.0
2003-11-01,343400.0,411100.0
2003-12-01,350300.0,420200.0
2004-01-01,357500.0,430000.0
2004-02-01,365000.0,440600.0
2004-03-01,372900.0,452200.0
2004-04-01,381300.0,464700.0
2004-05-01,390200.0,477300.0
2004-06-01,399600.0,489500.0
2004-07-01,409200.0,500300.0
2004-08-01,418400.0,509000.0
2004-09-01,426800.0,515700.0
2004-10-01,434300.0,520900.0
2004-11-01,441100.0,525200.0
2004-12-01,447800.0,529400.0
2005-01-01,455100.0,533900.0
2005-02-01,463100.0,538900.0
2005-03-01,471900.0,544600.0
2005-04-01,481300.0,550700.0
2005-05-01,490700.0,556900.0
2005-06-01,500000.0,563300.0
2005-07-01,509000.0,570100.0
2005-08-01,517400.0,576800.0
2005-09-01,525200.0,583400.0
2005-10-01,532300.0,589800.0
2005-11-01,538200.0,595800.0
2005-12-01,543000.0,601500.0
2006-01-01,546900.0,606900.0
2006-02-01,550100.0,612000.0
2006-03-01,552900.0,616900.0
2006-04-01,555000.0,621100.0
2006-05-01,556400.0,624000.0
2006-06-01,557300.0,625700.0
2006-07-01,557100.0,625800.0
2006-08-01,555500.0,624600.0
2006-09-01,553200.0,622700.0
2006-10-01,550900.0,620500.0
2006-11-01,548400.0,618000.0
2006-12-01,546200.0,615700.0
2007-01-01,544600.0,613700.0
2007-02-01,543100.0,611400.0
2007-03-01,541400.0,608200.0
2007-04-01,539200.0,603800.0
2007-05-01,536300.0,598600.0
2007-06-01,532900.0,592600.0
2007-07-01,528400.0,585200.0
2007-08-01,522300.0,576700.0
2007-09-01,515600.0,567800.0
2007-10-01,509100.0,558900.0
2007-11-01,502700.0,549700.0
2007-12-01,496100.0,539600.0
2008-01-01,489600.0,528800.0
2008-02-01,482500.0,517800.0
2008-03-01,474000.0,506800.0
2008-04-01,464000.0,496300.0
2008-05-01,453500.0,487400.0
2008-06-01,443500.0,479700.0
2008-07-01,434800.0,473200.0
2008-08-01,427100.0,468000.0
2008-09-01,420100.0,464000.0
2008-10-01,413300.0,460600.0
2008-11-01,406800.0,457500.0
2008-12-01,400500.0,454600.0
2009-01-01,395000.0,451300.0
2009-02-01,389500.0,447400.0
2009-03-01,383300.0,442600.0
2009-04-01,376000.0,437100.0
2009-05-01,368300.0,431600.0
2009-06-01,362100.0,427400.0
2009-07-01,358800.0,425500.0
2009-08-01,357700.0,425700.0
2009-09-01,357900.0,427000.0
2009-10-01,359000.0,429200.0
2009-11-01,360200.0,431700.0
2009-12-01,361300.0,434100.0
2010-01-01,362500.0,435600.0
2010-02-01,363300.0,435900.0
2010-03-01,363400.0,434500.0
2010-04-01,365100.0,433900.0
2010-05-01,367700.0,435200.0
2010-06-01,367900.0,435700.0
2010-07-01,366100.0,434700.0
2010-08-01,366700.0,433600.0
